tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
2026-09-25 05:03:42.093705 IP 89.125.104.114.50828 > 89.58.15.243.10860: UDP, length 124
2026-09-25 05:03:42.093824 IP 89.58.15.243.10860 > 89.125.104.114.50828: UDP, length 84
2026-09-25 05:03:42.094841 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 102
2026-09-25 05:03:42.095103 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.108757 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.109429 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 143
2026-09-25 05:03:42.114512 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 98
2026-09-25 05:03:42.114802 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.128949 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.129617 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 135
2026-09-25 05:03:42.134074 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 101
2026-09-25 05:03:42.134332 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.150160 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.150790 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 149
2026-09-25 05:03:42.154222 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 100
2026-09-25 05:03:42.154456 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.168493 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.169059 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 149
2026-09-25 05:03:42.174499 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 105
2026-09-25 05:03:42.174735 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.188333 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.188940 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 155
2026-09-25 05:03:42.194218 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 105
2026-09-25 05:03:42.194464 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.208477 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.209087 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 143
2026-09-25 05:03:42.214680 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 97
2026-09-25 05:03:42.214962 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.228437 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.228961 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 146
2026-09-25 05:03:42.234637 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 87
2026-09-25 05:03:42.234875 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.249119 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.249682 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 145
2026-09-25 05:03:42.254471 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 90
2026-09-25 05:03:42.254764 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.268331 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.268813 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 148
2026-09-25 05:03:42.274127 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 93
2026-09-25 05:03:42.274329 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.290254 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.290938 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 142
2026-09-25 05:03:42.294278 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 92
2026-09-25 05:03:42.294506 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.309583 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:42.310158 IP 89.58.15.243.10860 > 62.148.235.153.61322: UDP, length 159
2026-09-25 05:03:42.310661 IP 89.125.104.114.50828 > 89.58.15.243.10860: UDP, length 124
2026-09-25 05:03:42.310747 IP 89.58.15.243.10860 > 89.125.104.114.50828: UDP, length 84
2026-09-25 05:03:42.314665 IP 62.148.235.153.61322 > 89.58.15.243.10860: UDP, length 87
2026-09-25 05:03:42.314928 IP 89.58.15.243.11300 > 185.45.152.18.44710: UDP, length 172
2026-09-25 05:03:42.328339 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
